作者,内容,评论数
李大头要努力,顺产，又名强生,514
医然为你,坐公交车，一边玩着王者，，看着我身边一个人非常疲惫，快要睡着了，我赶紧起身示意，让他坐下吧。。<br/><br/>他老看我手里的游戏，说：你打完我在坐，别坑队友。,3903
阿·木,早上；我对媳妇说:“知道吗？昨晚上我做梦，梦见我有宝葫芦了，里面全是金银珠宝……”媳妇儿说:“知道！你抱着老娘的咪咪摇了半宿！……”,3938
马化腾小老婆,剖腹产后在病床上接氧气，小外甥问舅妈你在充气啊，第二天拔了之后，又问舅妈你充好气啦！,5666
(糗名昭著)~雷疯,老婆是个利索的人，看不得邋遢，眼里容不下活儿。<br/>所以，每次一吃完饭，她都快速的闭上眼睛，往沙发上一躺。等我洗了碗，擦了桌子，她再睁开！,7269
缺根萝卜～,下午去买苹果，刚挑了俩就发现旁边有一袋都是挑好的！心想应该是别人挑了又不要了！<br/>刚拿起来准备给老板称一下，旁边一大妈就叫道：哎哎哎！！我刚捡了一袋苹果放着的呢？？我挑了半天了……吓得我大气都不敢出……,3567
不要葱姜蒜,父母开了个小店做生意，有一天在店里帮忙。。。。有个妈妈带着她女儿跟一条狗过来买东西，然后妈妈说：宝宝过来穿鞋，不要光着脚走路。<br/><br/>然后我看着她抱起了小狗，给狗狗穿了半天她女儿的鞋。,335
多嘴的八哥,平时给老婆搓背都顺便揩油一下，今天下班洗澡，一个工友也让我搓搓背，结果我也不由自主的在他的葡萄上用手拧一下，然后这货就嗷的一声跳池子里了！,7156
懂，又怎样？,邻居儿子来我家玩，不小心把他老妈的爱疯摔坏了，他妈气不过准备打他。<br/>他儿子流着泪苦苦哀求，我也赶忙劝。<br/>终究是自己的骨肉，她心一软：“好！今天我不打你可以，但是你给我滚回去好好读书下次考试必须考一百分，不然新账旧账一起算 ，”<br/>他儿子一听一摊手：“那你还是打死我吧！”,3687
看到就蛋疼,今天男朋友说来我家，因为比较远来的时候天很黑了，他坚持要买点东西去我家，我说没那个必要，今天中午吃饭的时候男朋友说昨天来得太晚商店都关门了，没有买东西感觉不好，等会去买回来补上。爸妈也说有心就好。这是坐在旁边的弟弟说:不用买了，我姐跑不了的。,2255
小布丁越舔越甜,闺蜜是酒店前台，经常有各种人称呼她：小姐，或者大姐，甚至阿姨！<br/>闺蜜说，这些我都能忍了，唯独有一次不能忍！那天有个酒鬼喝的走路歪三扭四的啪着柜台大喊：妈妈，把你这里最漂亮的小姐叫出来！<br/>。。。哈哈,4458
qiubai博士后,昨天和老妈坐电梯，我抱着东西，腾不出收来，让老妈按16楼电梯按钮，结果她按了一个10，又按了一个6,4288
魔道-师太,老王：“你们这是正经按摩吗？”老板：“先生，你想要不正经滴还是正经滴啊？”老王：“那喊一个正经滴妹纸来个不正经滴按摩。”,2451
